iter	RMSE
0	55524.5302
1	55165.95578
2	54922.31072
3	54575.97437
4	54254.64578
5	53800.60233
6	53346.40535
7	53005.18549
8	52654.68907
9	52303.54721
10	51906.86977
11	51517.2739
12	51077.00507
13	50791.4529
14	50312.37459
15	50012.7511
16	49696.4011
17	17	48035.80218	18	47735.18357
19	47315.90505
20	46993.33345
21	46656.03958
22	46389.65093
23	46085.28406
24	45725.64681
25	45289.80702
26	44953.31694
27	44674.29622
28	44284.41508
29	43964.01464
30	43689.27757
31	43330.38524
32	42993.7312
33	42640.11714
34	42314.87299
35	42037.84786
36	41706.53769
37	41361.009
38	41093.73209
39	40756.63257
40	40482.91359
41	40119.78949
42	39797.42895
43	39553.18781
44	39258.06827
45	38951.93127
46	38686.79309
47	38357.34188
48	38118.31898
49	37860.97685
50	37603.89811
51	37288.14786
52	36980.9524
53	36770.30453
54	36500.62429
55	36286.96386
56	35969.62883
57	35688.18223
58	35382.84727
59	35107.37157
60	34903.2333
61	34654.30707
62	34467.5434
63	34279.85443
64	34061.49218
65	33840.9837
66	33590.55102
67	33376.50251
68	33043.39631
69	32811.37347
70	32617.61478
71	32406.34875
72	32174.93731
73	31930.25439
74	31731.99004
75	31487.64085
76	31325.8654
77	31077.13
78	30894.86728
79	30639.32269
80	30358.4318
81	30184.26884
82	30006.05438
83	29840.53546
84	29663.55727
85	29432.25168
86	29223.54939
87	29011.3253
88	28748.48011
89	28589.89006
90	28427.72156
91	28280.78633
92	28071.2997
93	27881.52523
94	27636.20721
95	27437.58022
96	27211.348
97	27018.20135
98	26867.84827
99	26683.42816
100	26510.96869
101	26252.99614
102	26042.98998
103	25858.87126
104	25687.47692
105	25505.70357
106	25315.21315
107	25113.77541
108	24901.80636
109	24765.53222
110	24582.8867
111	24443.09755
112	24282.507
113	24126.35576
114	23950.72831
115	23771.55906
116	23603.8339
117	23413.90267
118	23255.25032
119	23115.4152
120	22987.34545
121	22822.05305
122	22633.85044
123	22463.98652
124	22330.51183
125	22191.52
126	22061.2554
127	21895.2745
128	21702.92865
129	21559.16736
130	21440.93864
131	21314.28642
132	21185.76309
133	21032.46929
134	20866.58008
135	20726.56266
136	20588.47083
137	20427.37289
138	20302.23726
139	20145.44074
140	20002.50418
141	19851.0036
142	19689.6728
143	19528.00691
144	19379.28008
145	19256.78894
146	19127.55465
147	18956.00685
148	18832.13933
149	18702.29737
150	18575.53778
151	18466.00238
152	18355.61831
153	18226.52227
154	18055.69693
155	17917.68224
156	17784.98636
157	17663.55115
158	17542.55582
159	17414.63985
160	17279.91569
161	17162.57967
162	17040.70192
163	16903.62131
164	16812.80289
165	16685.4613
166	16561.22863
167	16455.82377
168	16339.09594
169	16245.54411
170	16129.55156
171	16016.53712
