iter	Passed	Remaining
0	129	128968
1	130	64965
2	131	43621
3	132	32928
4	132	26425
5	133	22070
6	133	18955
7	134	16661
8	135	14912
9	136	13482
10	137	12335
11	137	11357
12	138	10528
13	139	9836
14	140	9209
15	141	8686
16	142	8240
1717	158	8631818	160	8278
19	161	7930
20	163	7599
21	164	7299
22	165	7036
23	167	6798
24	168	6568
25	169	6342
26	170	6145
27	171	5960
28	172	5790
29	174	5656
30	176	5518
31	177	5370
32	178	5236
33	179	5105
34	180	4977
35	181	4867
36	183	4765
37	184	4676
38	185	4583
39	187	4488
40	188	4406
41	189	4322
42	190	4247
43	192	4176
44	193	4104
45	194	4028
46	195	3962
47	197	3919
48	199	3871
49	200	3815
50	202	3767
51	203	3714
52	204	3662
53	206	3611
54	207	3563
55	208	3515
56	209	3469
57	211	3437
58	212	3389
59	213	3351
60	215	3316
61	216	3275
62	217	3236
63	218	3195
64	219	3163
65	220	3125
66	222	3092
67	223	3061
68	223	3020
69	225	2994
70	226	2966
71	227	2935
72	229	2912
73	230	2884
74	231	2857
75	233	2839
76	235	2828
77	236	2799
78	238	2784
79	240	2767
80	242	2746
81	243	2724
82	244	2702
83	245	2681
84	247	2662
85	248	2643
86	250	2626
87	252	2611
88	252	2585
89	254	2572
90	255	2554
91	257	2539
92	258	2521
93	259	2501
94	260	2481
95	261	2463
96	262	2447
97	263	2428
98	265	2412
99	266	2396
100	267	2381
101	268	2362
102	269	2344
103	270	2333
104	272	2322
105	273	2308
106	275	2295
107	276	2281
108	277	2270
109	279	2259
110	280	2249
111	282	2240
112	284	2230
113	286	2222
114	287	2209
115	288	2196
116	289	2182
117	290	2173
118	291	2160
119	293	2149
120	293	2133
121	295	2124
122	296	2113
123	297	2103
124	298	2092
125	300	2082
126	301	2072
127	302	2061
128	303	2049
129	304	2039
130	305	2029
131	307	2018
132	307	2005
133	308	1994
134	309	1981
135	310	1970
136	311	1960
137	312	1949
138	314	1945
139	315	1937
140	316	1930
141	317	1920
142	318	1907
143	319	1900
144	320	1891
145	321	1882
146	323	1875
147	324	1866
148	325	1858
149	326	1849
150	327	1841
151	328	1833
152	329	1822
153	330	1815
154	331	1806
155	332	1800
156	333	1791
157	335	1787
158	336	1781
159	338	1774
160	338	1765
161	339	1757
162	341	1752
163	342	1747
164	344	1743
165	345	1737
166	346	1730
167	348	1724
168	349	1720
169	351	1715
170	353	1713
171	354	1707
172	355	1700
173	356	1691
174	357	1686
175	359	1682
176	360	1675
177	361	1670
178	362	1664
179	363	1657
180	365	1652
181	366	1647
182	367	1641
183	368	1635
184	369	1629
185	370	1621
186	371	1616
187	372	1610
188	373	1604
189	375	1599
190	376	1594
191	377	1588
192	378	1583
193	380	1579
194	381	1574
195	382	1570
196	383	1565
197	385	1559
198	386	1554
199	387	1549
200	388	1544
201	389	1539
202	390	1534
203	392	1530
204	393	1524
205	394	1520
206	395	1515
