,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,snowfall_sum,precipitation_hours
0,2015-01-01 05:00:00,2.361,-4.289,-1.2452499,0.0,0.0
1,2015-01-02 05:00:00,5.261,-2.089,0.9505834,0.0,0.0
2,2015-01-03 05:00:00,8.011001,-2.739,1.7214166,3.0799997,11.0
3,2015-01-04 05:00:00,13.661,7.611,10.0547495,0.0,12.0
4,2015-01-05 05:00:00,6.061,-4.339,0.86725014,0.0,0.0
5,2015-01-06 05:00:00,-4.589,-6.639,-5.6264997,1.0500001,6.0
6,2015-01-07 05:00:00,-4.139,-12.639,-7.2452507,0.0,0.0
7,2015-01-08 05:00:00,-6.089,-13.238999,-9.7515,0.0,0.0
8,2015-01-09 05:00:00,0.56100005,-8.139,-3.5848331,0.63000005,4.0
9,2015-01-10 05:00:00,-5.139,-9.639,-7.505667,0.0,0.0
10,2015-01-11 05:00:00,1.7609999,-8.938999,-3.8994162,0.0,0.0
11,2015-01-12 05:00:00,2.5609999,-1.139,1.1964167,0.0,15.0
12,2015-01-13 05:00:00,1.0109999,-7.939,-3.7223337,0.21000001,2.0
13,2015-01-14 05:00:00,-0.089,-8.089,-4.2306666,0.0,0.0
14,2015-01-15 05:00:00,1.111,-5.339,-2.6556666,0.0,0.0
15,2015-01-16 05:00:00,4.661,-6.739,-1.4869167,0.0,0.0
16,2015-01-17 05:00:00,-2.289,-8.639,-5.4390006,0.0,0.0
17,2015-01-18 05:00:00,7.561,-2.639,2.4151666,0.0,14.0
18,2015-01-19 05:00:00,5.161,-1.7390001,0.8005833,0.0,0.0
19,2015-01-20 05:00:00,4.911,-2.839,0.4630833,0.0,0.0
20,2015-01-21 05:00:00,1.161,-5.589,-2.2015002,0.42000002,2.0
21,2015-01-22 05:00:00,4.211,-2.889,-0.116083324,0.14,2.0
22,2015-01-23 05:00:00,3.261,-4.639,-0.8994165,0.0,0.0
23,2015-01-24 05:00:00,1.911,-1.2390001,0.4818333,11.059999,15.0
24,2015-01-25 05:00:00,3.711,-4.139,-1.2994165,0.07,0.0
25,2015-01-26 05:00:00,-2.589,-5.489,-4.268167,4.9,20.0
26,2015-01-27 05:00:00,-3.6890001,-7.639,-5.9056664,7.7699995,14.0
27,2015-01-28 05:00:00,-3.4390001,-12.688999,-8.895249,0.0,0.0
28,2015-01-29 05:00:00,0.061,-16.189,-8.299417,0.49,3.0
29,2015-01-30 05:00:00,1.611,-9.889,-1.8744167,1.7500001,9.0
30,2015-01-31 05:00:00,-5.889,-14.389,-10.643167,0.0,0.0
31,2015-02-01 05:00:00,0.861,-13.839,-6.6452503,0.70000005,2.0
32,2015-02-02 05:00:00,2.711,-9.938999,-1.5994167,7.9100003,19.0
33,2015-02-03 05:00:00,-5.739,-15.488999,-11.047333,0.0,0.0
34,2015-02-04 05:00:00,2.8109999,-12.738999,-3.7119172,0.0,0.0
35,2015-02-05 05:00:00,0.661,-13.839,-4.499417,0.7,4.0
36,2015-02-06 05:00:00,-5.289,-18.539,-12.534835,0.07,0.0
37,2015-02-07 05:00:00,0.711,-12.839,-5.914001,0.14,0.0
38,2015-02-08 05:00:00,3.461,-2.239,0.59849995,0.0,1.0
39,2015-02-09 05:00:00,-0.389,-4.189,-3.08275,1.4000003,15.0
40,2015-02-10 05:00:00,1.411,-5.139,-2.5452502,0.35,2.0
41,2015-02-11 05:00:00,-1.7390001,-7.989,-4.684833,0.0,0.0
42,2015-02-12 05:00:00,2.711,-8.738999,-2.9681673,0.07,2.0
43,2015-02-13 05:00:00,-7.939,-15.589,-12.116082,0.0,0.0
44,2015-02-14 05:00:00,-0.33900002,-13.139,-6.5994167,0.84000003,6.0
45,2015-02-15 05:00:00,-5.489,-17.489,-10.730667,1.12,5.0
46,2015-02-16 05:00:00,-7.689,-19.039,-13.461917,0.0,0.0
47,2015-02-17 05:00:00,-4.189,-10.988999,-7.9285846,2.3099997,10.0
48,2015-02-18 05:00:00,-2.539,-12.639,-7.5015006,0.0,0.0
49,2015-02-19 05:00:00,-6.939,-14.839,-10.053582,0.0,0.0
50,2015-02-20 05:00:00,-8.789,-19.539,-14.799417,0.0,0.0
51,2015-02-21 05:00:00,-1.039,-16.639,-7.841083,8.26,10.0
52,2015-02-22 05:00:00,4.911,-2.739,0.5443333,2.7300005,10.0
53,2015-02-23 05:00:00,-1.9890001,-16.389,-7.4431663,0.0,0.0
54,2015-02-24 05:00:00,-7.239,-18.989,-12.782752,0.0,0.0
55,2015-02-25 05:00:00,0.911,-14.238999,-6.489,0.0,0.0
56,2015-02-26 05:00:00,-3.1890001,-8.589,-6.1848335,0.56,5.0
57,2015-02-27 05:00:00,-2.839,-13.188999,-8.778582,0.0,0.0
58,2015-02-28 05:00:00,-3.789,-16.639,-9.295251,0.0,0.0
59,2015-03-01 05:00:00,-1.389,-8.589,-4.9723325,8.12,12.0
60,2015-03-02 05:00:00,1.861,-7.689,-1.45775,0.0,0.0
61,2015-03-03 05:00:00,2.3109999,-10.938999,-4.7931666,2.9399998,10.0
62,2015-03-04 05:00:00,4.711,2.161,3.111,0.0,13.0
63,2015-03-05 05:00:00,2.161,-6.939,-2.2369168,9.59,22.0
64,2015-03-06 05:00:00,-6.139,-15.188999,-10.416083,0.0,0.0
65,2015-03-07 05:00:00,0.911,-16.389,-7.7931676,0.0,0.0
66,2015-03-08 05:00:00,6.111,-5.839,-0.3265001,0.0,0.0
67,2015-03-09 05:00:00,7.211,-4.989,1.1818334,0.0,1.0
68,2015-03-10 05:00:00,6.461,-1.039,3.0547497,0.0,8.0
69,2015-03-11 05:00:00,10.911,0.611,5.586,0.0,4.0
70,2015-03-12 05:00:00,5.561,-3.839,1.7443331,0.0,0.0
71,2015-03-13 05:00:00,3.411,-5.339,-0.5848332,0.0,0.0
72,2015-03-14 05:00:00,6.461,1.0109999,3.9735,0.0,20.0
73,2015-03-15 05:00:00,6.561,0.311,3.6380835,0.0,0.0
74,2015-03-16 05:00:00,8.161,-3.289,2.6818333,0.0,0.0
75,2015-03-17 05:00:00,12.111,-1.689,5.200583,0.0,3.0
76,2015-03-18 05:00:00,3.511,-3.289,-0.53691673,0.0,0.0
77,2015-03-19 05:00:00,4.911,-4.339,-0.5640002,0.0,0.0
78,2015-03-20 05:00:00,2.411,-3.389,-0.2910833,7.8399997,13.0
79,2015-03-21 05:00:00,7.911,-1.689,2.56725,0.35,1.0
80,2015-03-22 05:00:00,4.911,-3.389,1.0276666,0.0,0.0
81,2015-03-23 05:00:00,2.961,-5.639,-1.6535834,0.0,0.0
82,2015-03-24 05:00:00,5.411,-4.439,0.16725016,0.0,0.0
83,2015-03-25 05:00:00,7.311,-2.589,2.4485,0.07,3.0
84,2015-03-26 05:00:00,15.311001,2.8109999,9.57975,0.0,9.0
85,2015-03-27 05:00:00,7.411,1.461,4.5839167,0.0,10.0
86,2015-03-28 05:00:00,3.961,-2.389,1.41725,0.07,0.0
87,2015-03-29 05:00:00,6.261,-3.239,0.8943333,0.0,0.0
88,2015-03-30 05:00:00,10.911,-0.539,4.8755836,0.14,1.0
89,2015-03-31 05:00:00,6.361,-0.73899996,2.6985,0.49,11.0
90,2015-04-01 05:00:00,10.211,-1.289,3.8797503,0.0,0.0
91,2015-04-02 05:00:00,15.411,-1.589,7.8901677,0.0,3.0
92,2015-04-03 05:00:00,15.261001,10.861,13.204751,0.0,9.0
93,2015-04-04 05:00:00,14.611,2.361,9.215167,0.0,4.0
94,2015-04-05 05:00:00,14.861,1.161,7.8464165,0.0,0.0
95,2015-04-06 05:00:00,15.911,0.711,9.336001,0.0,2.0
96,2015-04-07 05:00:00,15.261001,5.511,10.0547495,0.0,12.0
97,2015-04-08 05:00:00,6.861,4.211,5.1089168,0.0,2.0
98,2015-04-09 05:00:00,6.761,2.961,4.1735,0.0,2.0
99,2015-04-10 05:00:00,13.961,4.011,9.44225,0.0,4.0
100,2015-04-11 05:00:00,13.311001,5.211,10.073499,0.0,0.0
101,2015-04-12 05:00:00,16.311,1.961,9.100583,0.0,0.0
102,2015-04-13 05:00:00,17.411001,4.311,11.110999,0.0,0.0
103,2015-04-14 05:00:00,16.461,10.711,13.010999,0.0,4.0
104,2015-04-15 05:00:00,19.061,7.211,12.838084,0.0,0.0
105,2015-04-16 05:00:00,14.511001,5.611,10.344334,0.0,0.0
